Date,Fallacy,Label,Subcategory,Context,full_sentence,long_fallacy
2016,mess,AppealtoEmotion,Loaded Language,OK?Because look at the mess that we're in. Look at the mess that we're in.,Look at the mess that we're in.,Look at the mess that we're in.
1980,"It's a lonely job, but with the involvement of the American people in the process, with an open Government, the job is a very gratifying one.",AppealtoEmotion,Loaded Language,"And the final judgment about the future of the nation - war, peace, involvement, reticence, thoughtfulness, care, consideration, concern - has to be made by the man in the Oval Office. It's a lonely job, but with the involvement of the American people in the process, with an open Government, the job is a very gratifying one. The American people now are facing, next Tuesday, a lonely decision.","It's a lonely job, but with the involvement of the American people in the process, with an open Government, the job is a very gratifying one.","It's a lonely job, but with the involvement of the American people in the process, with an open Government, the job is a very gratifying one."
2016,"When they go low, you go high",AppealtoEmotion,Loaded Language,"Instead of answering people’s questions, talking about our agenda, laying out the plans that we have that we think can make a better life and a better country, that’s his choice. When I hear something like that, I am reminded of what my friend, Michelle Obama, advised us all: When they go low, you go high. [applause]And, look, if this were just about one video, maybe what he’s saying tonight would be understandable, but everyone can draw their own conclusions at this point about whether or not the man in the video or the man on the stage respects women.","When I hear something like that, I am reminded of what my friend, Michelle Obama, advised us all: When they go low, you go high.","When I hear something like that, I am reminded of what my friend, Michelle Obama, advised us all: When they go low, you go high."
2000,I thought the President did the right thing with Mexico and was very strongly supportive of the administration in Mexico.,AppealtoEmotion,Loaded Language,It needs to be available for emergency situations. I thought the President did the right thing with Mexico and was very strongly supportive of the administration in Mexico. But I don't think the IMF ought to be a stop loss for people who ought to be able to evaluate risks themselves.,I thought the President did the right thing with Mexico and was very strongly supportive of the administration in Mexico.,I thought the President did the right thing with Mexico and was very strongly supportive of the administration in Mexico.
1984,villain,AppealtoEmotion,Loaded Language,"I'll tell you what I think has been the most outrageous thing in political dialog, both in this campaign and the one in '82. And that is the continued discussion and claim that somehow I am the villain who is going to pull the Social Security checks out from those people who are dependent on them. And why I think it is outrageous -- first of all, it isn't true.",And that is the continued discussion and claim that somehow I am the villain who is going to pull the Social Security checks out from those people who are dependent on them.,And that is the continued discussion and claim that somehow I am the villain who is going to pull the Social Security checks out from those people who are dependent on them.
1992,trickle - down economics,AppealtoEmotion,Loaded Language,"Our people will be glad to furnish the press, if they're interested, in Senator Gore's voting record on the Caribbean Basin Initiative. But let's talk -- you know, you keep talking about trickle - down economics and all this stuff, about the worst economy since Hoover. It is a bad economy.","But let's talk -- you know, you keep talking about trickle - down economics and all this stuff, about the worst economy since Hoover.","But let's talk -- you know, you keep talking about trickle - down economics and all this stuff, about the worst economy since Hoover."
2016,an unbelievable company,AppealtoEmotion,Loaded Language,"Look, it's all words, it's all sound bites. I built an unbelievable company. Some of the greatest assets anywhere in the world, real estate assets anywhere in the world, beyond the United States, in Europe, lots of different places.",I built an unbelievable company.,I built an unbelievable company.
2000,cynicism,AppealtoEmotion,Loaded Language,"It's time for a new look. It's time for a fresh start after a season of cynicism. And so I don't know the man well, but I've been disappointed about how he and his administration have conducted the fundraising affairs.",It's time for a fresh start after a season of cynicism.,It's time for a fresh start after a season of cynicism.
1992,the little stinky numbers,AppealtoEmotion,Loaded Language,Douglas is all character. He knows all of the little stinky numbers these guys do. Abraham Lincoln had character.,He knows all of the little stinky numbers these guys do.,He knows all of the little stinky numbers these guys do.
1976,embarrassment,AppealtoEmotion,Loaded Language,"First of all, I would quit conducting the decision - making process in secret, as has been a characteristic of Mr. Kissinger and Mr. Ford. In many instances we've made agreements, like in Vietnam, uh - that have uh - been revealed later on to our uh - embarrassment. Recently Ian Smith, the uh - president of uh - Rhodesia, announced that he had unequivocal commitments from Mr. Kissinger that he could not reveal.","In many instances we've made agreements, like in Vietnam, uh - that have uh - been revealed later on to our uh - embarrassment.","In many instances we've made agreements, like in Vietnam, uh - that have uh - been revealed later on to our uh - embarrassment."
2016,a beautiful thing to watch.,AppealtoEmotion,Loaded Language,That's going to be a job creator like we haven't seen since Ronald Reagan. It's going to be a beautiful thing to watch. Companies will come.,It's going to be a beautiful thing to watch.,It's going to be a beautiful thing to watch.
1988,"I don't think there's any question about that, and I resent it. I resent it.",AppealtoEmotion,Loaded Language,"Of course, the vice president is questioning my patriotism. I don't think there's any question about that, and I resent it. I resent it. My parents came to this country as immigrants.","I don't think there's any question about that, and I resent it.","I don't think there's any question about that, and I resent it. I resent it."
1980,This ultimate terrorist threat is the most fearsome of all,AppealtoEmotion,Loaded Language,"And recently when he was asked specifically about Iraq, he said there is nothing we can do about it. This ultimate terrorist threat is the most fearsome of all, and it's part of a pattern where our country must stand firm to control terrorism of all kinds. We will maintain our position of neutrality in the Iran and Iraq war.","This ultimate terrorist threat is the most fearsome of all, and it's part of a pattern where our country must stand firm to control terrorism of all kinds.","This ultimate terrorist threat is the most fearsome of all, and it's part of a pattern where our country must stand firm to control terrorism of all kinds."
