Date,Fallacy,Label,Subcategory,Context,full_sentence,long_fallacy
1976,"We've got an extraordinarily high unemployment rate among downtown urban ghetto areas, uh - particularly among the very poor and particularly among minority groups, sometimes 50 or 60 percent.",AppealtoEmotion,Appeal to pity,"The last point is that the major - uh thrust has gotta be to put people back to work. We've got an extraordinarily high unemployment rate among downtown urban ghetto areas, uh - particularly among the very poor and particularly among minority groups, sometimes 50 or 60 percent. And the concentration of employment opportunities in those areas would help greatly not only to reestablish the tax base, but also to help reduce the extraordinary welfare cost.","We've got an extraordinarily high unemployment rate among downtown urban ghetto areas, uh - particularly among the very poor and particularly among minority groups, sometimes 50 or 60 percent.","We've got an extraordinarily high unemployment rate among downtown urban ghetto areas, uh - particularly among the very poor and particularly among minority groups, sometimes 50 or 60 percent."
2008,Admiral Mullen suggests that Senator Obama's plan is dangerous for America.,AppealtoAuthority,Without Evidence,"And right now, the commanders in Afghanistan, as well as Admiral Mullen, have acknowledged that we don't have enough troops to deal with Afghanistan because we still have more troops in Iraq than we did before the surge. Admiral Mullen suggests that Senator Obama's plan is dangerous for America. That's not the case.",Admiral Mullen suggests that Senator Obama's plan is dangerous for America.,Admiral Mullen suggests that Senator Obama's plan is dangerous for America.
2004,the most significant effort,AppealtoEmotion,Loaded Language,"I've tried to find the common ground, because that's what makes us strong as Americans. And if Americans trust me with the presidency, I can pledge to you, we will have the most significant effort, openly -- not secret meetings in the White House with special interests, not ideologically driven efforts to push people aside -- but a genuine effort to try to restore America's hope and possibilities by bringing people together. And one of the ways we're going to do it is, I'm going to work with my friend, John McCain, to further campaign finance reform so we get these incredible amounts of money out of the system and open it up to average people, so America is really represented by the people who make up America.","And if Americans trust me with the presidency, I can pledge to you, we will have the most significant effort, openly -- not secret meetings in the White House with special interests, not ideologically driven efforts to push people aside -- but a genuine effort to try to restore America's hope and possibilities by bringing people together.","And if Americans trust me with the presidency, I can pledge to you, we will have the most significant effort, openly -- not secret meetings in the White House with special interests, not ideologically driven efforts to push people aside -- but a genuine effort to try to restore America's hope and possibilities by bringing people together."
1996,"Thirdly, in Bosnia it's a virtual miracle that there has been no return to war and at least there has now been an election.",AppealtoEmotion,Loaded Language,"Secondly, in Haiti, political violence is much, much smaller than it was. Thirdly, in Bosnia it's a virtual miracle that there has been no return to war and at least there has now been an election. And institutions are beginning to function.","Thirdly, in Bosnia it's a virtual miracle that there has been no return to war and at least there has now been an election.","Thirdly, in Bosnia it's a virtual miracle that there has been no return to war and at least there has now been an election."
1960,"Admirals Spruance and Callins in 1955 said that we should not attempt to defend these islands, in their conference in the Far East.",AppealtoAuthority,Without Evidence,"Now, Mr. Herter in 1958, when he was Under Secretary of State, said they were strategically undefensible. Admirals Spruance and Callins in 1955 said that we should not attempt to defend these islands, in their conference in the Far East. General Ridgway has said the same thing.","Admirals Spruance and Callins in 1955 said that we should not attempt to defend these islands, in their conference in the Far East.","Admirals Spruance and Callins in 1955 said that we should not attempt to defend these islands, in their conference in the Far East."
2016,mess,AppealtoEmotion,Loaded Language,OK?Because look at the mess that we're in. Look at the mess that we're in.,Look at the mess that we're in.,Look at the mess that we're in.
2000,Tipper and I have worked on the problem of violence in entertainment aimed at children. She's worked on it longer than I have.,AppealtoAuthority,False Authority,We do have a serious problem in our culture. Tipper and I have worked on the problem of violence in entertainment aimed at children. She's worked on it longer than I have. But I feel very strongly about that.,Tipper and I have worked on the problem of violence in entertainment aimed at children.,Tipper and I have worked on the problem of violence in entertainment aimed at children. She's worked on it longer than I have.
1960,this isn't just a Southern problem; it's a Northern problem and a Western problem; it's a problem for all of us.,AppealtoEmotion,Flag waving,"Now there are other places where the executive can lead, but let me just sum up by saying this: why do I talk every time I'm in the South on civil rights? Not because I am preaching to the people of the South because this isn't just a Southern problem; it's a Northern problem and a Western problem; it's a problem for all of us. I do it because it's the responsibility of leadership, I do it because we have to solve this problem together.",Not because I am preaching to the people of the South because this isn't just a Southern problem; it's a Northern problem and a Western problem; it's a problem for all of us.,Not because I am preaching to the people of the South because this isn't just a Southern problem; it's a Northern problem and a Western problem; it's a problem for all of us.
2016,another one of her disasters,AppealtoEmotion,Loaded Language,"Or, as I've been saying for a long time, and I think you'll agree, because I said it to you once, had we taken the oil—and we should have taken the oil—ISIS would not have been able to form either, because the oil was their primary source of income. And now they have the oil all over the place, including the oil—a lot of the oil in Libya, which was another one of her disasters. Well, I hope the fact - checkers are turning up the volume and really working hard.","And now they have the oil all over the place, including the oil—a lot of the oil in Libya, which was another one of her disasters.","And now they have the oil all over the place, including the oil—a lot of the oil in Libya, which was another one of her disasters."
1960,"the most fantastic program, the worst program",AppealtoEmotion,Loaded Language,"He also indicates as far as his agricultural program is concerned that he feels it will cost less than ours. Well, all that I can suggest is that all the experts who have studied the program indicate that it is the most fantastic program, the worst program, insofar as its effect on the farmers, that the - America has ever had foisted upon it in an election year or any other time. And I would also point out that Senator Kennedy left out a part of the cost of that program - a twenty - five percent rise in food prices that the people would have to pay.","Well, all that I can suggest is that all the experts who have studied the program indicate that it is the most fantastic program, the worst program, insofar as its effect on the farmers, that the - America has ever had foisted upon it in an election year or any other time.","Well, all that I can suggest is that all the experts who have studied the program indicate that it is the most fantastic program, the worst program, insofar as its effect on the farmers, that the - America has ever had foisted upon it in an election year or any other time."
